1,BORDADO,1,(1 PALABRA) CHICO,22.00
1,BORDADO,2,(1 PALABRA) GRANDE,38.00
1,BORDADO,3,(1 PALABRA) MEDIANO,34.00
1,BORDADO,4,INICIAL CHICO,22.00
1,BORDADO,5,INICIAL GRANDE,38.00
1,BORDADO,6,INICIAL MEDIANO,34.00
2,CAMISA O BLUSA,1,ACORTAR LARGO,83.00
2,CAMISA O BLUSA,2,ACORTAR LARGO A MANO,94.00
2,CAMISA O BLUSA,3,ACORTAR LARGO CON COLLARETERA,104.00
2,CAMISA O BLUSA,4,ACORTAR MANGA CON COLLARETERA,89.00
2,CAMISA O BLUSA,5,ACORTAR MANGAS CON PU—O,115.00
2,CAMISA O BLUSA,6,ACORTAR MANGAS SIN PU—O,79.00
2,CAMISA O BLUSA,7,ARREGLO DE PU—OS,104.00
2,CAMISA O BLUSA,8,CAMBIO DE CIERRE INVISIBLE,83.00
2,CAMISA O BLUSA,9,CAMBIO DE CIERRE NORMAL,79.00
2,CAMISA O BLUSA,10,CAMBIO DE PUÒOS CON MATERIAL,104.00
2,CAMISA O BLUSA,11,DOBLADILLO DE MANGAS A MANO,79.00
2,CAMISA O BLUSA,12,ENTALLAR LATERALES,83.00
2,CAMISA O BLUSA,13,ENTALLAR LATERALES CON MANGA,104.00
2,CAMISA O BLUSA,14,ENTALLE GRAL  DE CAMISA LAT.MANG.DOB,251.00
2,CAMISA O BLUSA,15,ESCOTAR,100.00
2,CAMISA O BLUSA,16,HACER PINZAS,72.00
2,CAMISA O BLUSA,17,PAR DE VARILLAS PARA CUELLO,11.00
2,CAMISA O BLUSA,18,RECOMPOSTURA,0.00
2,CAMISA O BLUSA,19,SISAR,83.00
2,CAMISA O BLUSA,20,SUBIR HOMBROS,163.00
2,CAMISA O BLUSA,21,SUBIR TIRANTES,62.00
2,CAMISA O BLUSA,22,SUBIR TIRANTES CON FORRO,83.00
2,CAMISA O BLUSA,23,VOLTEAR CUELLO,93.00
2,CAMISA O BLUSA,24,VOLTEAR CUELLO CON OJAL,100.00
3,CHALECO,1,ENTALLAR ESPALDA,83.00
3,CHALECO,2,ENTALLAR LATERALES,93.00
3,CHALECO,3,HACER PINZAS,72.00
3,CHALECO,4,SUBIR HOMBROS,72.00
4,CHAMARRA,1,CAMBIO DE CIERRE EN CHAMARRA DE PIEL,189.00
4,CHAMARRA,2,CAMBIO DE CIERRE METALICO,135.00
4,CHAMARRA,3,CAMBIO DE CIERRE PLASTICO,125.00
4,CHAMARRA,4,CAMBIO DE FORRO CON TELA,345.00
4,CHAMARRA,5,CAMBIO DE FORRO SIN TELA,303.00
4,CHAMARRA,6,CAMBIO DE LIGA ELASTICA CHICA,93.00
4,CHAMARRA,7,CAMBIO DE LIGA ELASTICA GRANDE,104.00
4,CHAMARRA,8,CREAR FORRO CON TELA,419.00
4,CHAMARRA,9,CREAR FORRO SIN TELA,366.00
4,CHAMARRA,10,ENTALLAR LATERALES,215.00
4,CHAMARRA,11,ENTALLAR LATERALES CON FORRO,231.00
4,CHAMARRA,12,PIEL - CAMBIO DE CIERRE METAL,163.00
4,CHAMARRA,13,PIEL - CAMBIO DE CIERRE PLASTICO,142.00
4,CHAMARRA,14,PIEL - DOBLADILLO,215.00
4,CHAMARRA,15,PIEL - SUBIR HOMBROS,310.00
4,CHAMARRA,16,PIEL - SUBIR MANGAS,177.00
4,CHAMARRA,17,RECOMPOSTURA,0.00
4,CHAMARRA,18,SUBIR MANGAS CON FORRO,156.00
4,CHAMARRA,19,SUBIR MANGAS SIN FORRO,94.00
5,FALDA,1,BAJAR PRETINA,163.00
5,FALDA,2,BAJAR PRETINA COLOCANDO BIES,173.00
5,FALDA,3,CAMBIO  DE FORRO CON TELA,261.00
5,FALDA,4,CAMBIO DE CIERRE INVISIBLE,79.00
5,FALDA,5,CAMBIO DE CIERRE METALICO,79.00
5,FALDA,6,CAMBIO DE CIERRE NORMAL,68.00
5,FALDA,7,CAMBIO DE FORRO SIN TELA,209.00
5,FALDA,8,CAMBIO DE LIGA ELASTICA CHICA,93.00
5,FALDA,9,CAMBIO DE LIGA ELASTICA GRANDE,104.00
5,FALDA,10,CREAR FORRO CON TELA,324.00
5,FALDA,11,CREAR FORRO SIN TELA,272.00
5,FALDA,12,DOBLADILLO A MANO,93.00
